source,kind,status,public_url,target_or_canonical,repo_path,title,notes
archivo,activa,200,https://clickie.io/recursos/blog/clickie-en-la-feria-del-medio-ambiente-de-vulco-tecnologia-sostenibilidad-y-trabajo-conjunto.html,https://clickie.io/recursos/blog/clickie-en-la-feria-del-medio-ambiente-de-vulco-tecnologia-sostenibilidad-y-trabajo-conjunto.html,recursos/blog/clickie-en-la-feria-del-medio-ambiente-de-vulco-tecnologia-sostenibilidad-y-trabajo-conjunto.html,"Clickie en la Feria del Medio Ambiente de Vulco: tecnología, sostenibilidad y trabajo conjunto | Blog Clickie",
archivo,activa,200,https://clickie.io/recursos/blog/como-ahorrar-energia-en-tu-tienda-y-reducir-costos-operativos.html,https://clickie.io/recursos/blog/como-ahorrar-energia-en-tu-tienda-y-reducir-costos-operativos.html,recursos/blog/como-ahorrar-energia-en-tu-tienda-y-reducir-costos-operativos.html,Cómo ahorrar energía en tu tienda y reducir costos operativos | Blog Clickie,
archivo,activa,200,https://clickie.io/recursos/blog/como-ayuda-clickie.html,https://clickie.io/recursos/blog/como-ayuda-clickie.html,recursos/blog/como-ayuda-clickie.html,Paso a paso: ¿Cómo ayuda Clickie a las empresas a gestionar mejor su energía? | Blog Clickie,
archivo,activa,200,https://clickie.io/recursos/blog/como-grupo-tattersall-logro-eficiencia-energetica-con-clickie-un-caso-de-exito-en-sostenibilidad.html,https://clickie.io/recursos/blog/como-grupo-tattersall-logro-eficiencia-energetica-con-clickie-un-caso-de-exito-en-sostenibilidad.html,recursos/blog/como-grupo-tattersall-logro-eficiencia-energetica-con-clickie-un-caso-de-exito-en-sostenibilidad.html,Cómo Grupo Tattersall logró eficiencia energética con Clickie: un caso de éxito en sostenibilidad | Blog Clickie,
archivo,activa,200,https://clickie.io/recursos/blog/como-las-tarifas-electricas-impactan-tu-operacion-diaria-y-que-hacer-para-pagar-menos.html,https://clickie.io/recursos/blog/como-las-tarifas-electricas-impactan-tu-operacion-diaria-y-que-hacer-para-pagar-menos.html,recursos/blog/como-las-tarifas-electricas-impactan-tu-operacion-diaria-y-que-hacer-para-pagar-menos.html,Cómo las tarifas eléctricas impactan tu operación diaria (y qué hacer para pagar menos) | Blog Clickie,
archivo,activa,200,https://clickie.io/recursos/blog/como-preparar-tu-tienda-para-ahorrar-energia-este-invierno.html,https://clickie.io/recursos/blog/como-preparar-tu-tienda-para-ahorrar-energia-este-invierno.html,recursos/blog/como-preparar-tu-tienda-para-ahorrar-energia-este-invierno.html,¿Cómo preparar tu tienda para ahorrar energía este invierno? | Blog Clickie,
archivo,activa,200,https://clickie.io/recursos/blog/como-se-logran-ahorros-reales-en-locales-como-oxxo-monitoreo-de-energia-en-retail.html,https://clickie.io/recursos/blog/como-se-logran-ahorros-reales-en-locales-como-oxxo-monitoreo-de-energia-en-retail.html,recursos/blog/como-se-logran-ahorros-reales-en-locales-como-oxxo-monitoreo-de-energia-en-retail.html,¿Cómo se logran ahorros reales en locales como OXXO? Monitoreo de Energía en Retail | Blog Clickie,
archivo,activa,200,https://clickie.io/recursos/blog/como-un-buen-uso-de-la-energia-puede-transformar-tu-negocio.html,https://clickie.io/recursos/blog/como-un-buen-uso-de-la-energia-puede-transformar-tu-negocio.html,recursos/blog/como-un-buen-uso-de-la-energia-puede-transformar-tu-negocio.html,Día Mundial del Ahorro de Energía: Cómo tu empresa puede hacer la diferencia | Blog Clickie,
archivo,activa,200,https://clickie.io/recursos/blog/consumo-nocturno-retail-multisucursal.html,https://clickie.io/recursos/blog/consumo-nocturno-retail-multisucursal.html,recursos/blog/consumo-nocturno-retail-multisucursal.html,Consumo nocturno en retail multisucursal: el costo que sigue corriendo cuando el local ya cerró | Blog Clickie,
archivo,activa,200,https://clickie.io/recursos/blog/costo-confort-tiendas.html,https://clickie.io/recursos/blog/costo-confort-tiendas.html,recursos/blog/costo-confort-tiendas.html,El costo invisible del confort en tiendas por departamento | Blog Clickie,
